fulldate,daily_revenue,cumulative_revenue
2015-11-09,1574.1,354928.31
2015-11-10,2002.56,356930.87
2015-11-11,7836.97,364767.84
2015-11-12,901.64,365669.48
2015-11-14,1034.73,366704.21
2015-11-15,1780.83,368485.04
2015-11-16,1355.93,369840.97
2015-11-17,11544.28,381385.25
2015-11-18,3406.85,384792.1
2015-11-19,7226.09,392018.19
2015-11-20,907.56,392925.75
2015-11-21,1249.62,394175.37
2015-11-22,1103.3,395278.67
2015-11-23,1363.28,396641.95
2015-11-24,5572.87,402214.82
2015-11-25,4415.7,406630.52
2015-11-26,1705.99,408336.51
2015-11-27,203.66,408540.17
2015-11-28,2280.83,410821.0
2015-11-29,649.04,411470.04
2015-11-30,219.15,411689.19
2015-12-01,5624.4,417313.59
2015-12-02,1771.8,419085.39
2015-12-03,505.88,419591.27
2015-12-04,129.98,419721.25
2015-12-05,2963.65,422684.9
2015-12-06,1970.99,424655.89
2015-12-07,548.4,425204.29
2015-12-08,1095.13,426299.42
2015-12-09,1522.66,427822.08
2015-12-10,573.33,428395.41
2015-12-12,4938.4,433333.81
2015-12-13,293.15,433626.96
2015-12-14,7641.65,441268.61
2015-12-15,1264.46,442533.07
2015-12-16,4065.6,446598.67
2015-12-17,45.53,446644.2
2015-12-19,3436.76,450080.96
2015-12-20,6962.44,457043.4
2015-12-21,1933.44,458976.84
2015-12-22,798.96,459775.8
2015-12-23,942.1,460717.9
2015-12-24,1950.21,462668.11
2015-12-26,2041.42,464709.53
2015-12-27,2966.38,467675.91
2015-12-28,2682.33,470358.24
2015-12-29,2072.11,472430.35
2015-12-30,2172.65,474603.0
2015-12-31,5253.27,479856.27
2016-01-02,1932.09,481788.36
2016-01-03,1768.23,483556.59
2016-01-04,264.46,483821.05
2016-01-05,295.27,484116.32
2016-01-06,31.54,484147.86
2016-01-09,364.07,484511.93
2016-01-10,1018.1,485530.03
2016-01-12,747.5,486277.53
2016-01-13,622.28,486899.81
2016-01-17,350.38,487250.19
2016-01-19,301.74,487551.93
2016-01-23,43.66,487595.59
2016-01-24,13.12,487608.71
2016-01-26,182.72,487791.43
2016-01-27,3573.26,491364.69
2016-01-28,4297.64,495662.33
2016-01-30,2161.64,497823.97
2016-01-31,99.26,497923.23
2016-02-03,492.83,498416.06
2016-02-06,2432.54,500848.6
2016-02-07,324.11,501172.71
2016-02-08,129.09,501301.8
2016-02-09,785.55,502087.35
2016-02-10,77.24,502164.59
2016-02-14,1079.96,503244.55
2016-02-15,1602.38,504846.93
2016-02-16,160.43,505007.36
2016-02-18,105.84,505113.2
2016-02-20,316.78,505429.98
2016-02-21,2591.1,508021.08
2016-02-22,79.36,508100.44
2016-02-23,37.78,508138.22
2016-02-25,25.87,508164.09
2016-02-27,1159.27,509323.36
2016-02-28,551.27,509874.63
2016-03-01,1642.17,511516.8
2016-03-02,899.57,512416.37
2016-03-05,1969.27,514385.64
2016-03-06,1555.24,515940.88
2016-03-07,807.54,516748.42
2016-03-08,2563.3,519311.72
2016-03-09,478.01,519789.73
2016-03-10,90.93,519880.66
2016-03-12,51.02,519931.68
2016-03-13,1384.86,521316.54
2016-03-14,707.9,522024.44
2016-03-15,16.78,522041.22
2016-03-16,7230.21,529271.43
2016-03-17,48.84,529320.27
2016-03-19,5203.9,534524.17
2016-03-20,102.51,534626.68
2016-03-21,1270.38,535897.06
2016-03-22,2481.42,538378.48
2016-03-23,633.3,539011.78
2016-03-24,412.95,539424.73
2016-03-26,131.16,539555.89
2016-03-27,83.7,539639.59
2016-03-28,243.34,539882.93
2016-03-29,1559.08,541442.01
2016-03-30,571.22,542013.23
2016-03-31,200.72,542213.95
2016-04-02,299.23,542513.18
2016-04-04,1484.6,543997.78
2016-04-05,2974.05,546971.83
2016-04-06,140.01,547111.84
2016-04-07,907.44,548019.28
2016-04-09,757.99,548777.27
2016-04-10,169.54,548946.81
2016-04-11,1328.35,550275.16
2016-04-13,3192.68,553467.84
2016-04-14,35.21,553503.05
2016-04-16,4161.98,557665.03
2016-04-17,2745.11,560410.14
2016-04-18,2006.96,562417.1
2016-04-19,329.96,562747.06
2016-04-20,1194.73,563941.79
2016-04-21,893.09,564834.88
2016-04-22,152.92,564987.8
2016-04-24,25.99,565013.79
2016-04-25,920.94,565934.73
2016-04-26,2090.11,568024.84
2016-04-27,2719.59,570744.43
2016-04-28,4044.36,574788.79
2016-04-29,7.97,574796.76
2016-04-30,1571.7,576368.46
2016-05-01,450.94,576819.4
2016-05-02,167.24,576986.64
2016-05-03,2198.77,579185.41
2016-05-04,1121.36,580306.77
2016-05-07,305.63,580612.4
2016-05-08,3981.96,584594.36
2016-05-09,48.81,584643.17
2016-05-10,154.44,584797.61
2016-05-11,191.97,584989.58
2016-05-12,1060.34,586049.92
2016-05-13,238.38,586288.3
2016-05-14,3141.21,589429.51
2016-05-15,69.91,589499.42
2016-05-16,255.97,589755.39
2016-05-17,47.37,589802.76
2016-05-18,10.86,589813.62
2016-05-20,169.55,589983.17
2016-05-21,72.34,590055.51
2016-05-22,3862.1,593917.61
2016-05-23,1304.95,595222.56
2016-05-24,610.31,595832.87
2016-05-25,1739.42,597572.29
2016-05-26,982.56,598554.85
2016-05-28,794.15,599349.0
2016-05-29,1119.79,600468.79
2016-05-30,681.1,601149.89
2016-05-31,5178.13,606328.02
2016-06-01,834.2,607162.22
2016-06-04,1192.31,608354.53
2016-06-05,1533.2,609887.73
2016-06-07,59.77,609947.5
2016-06-08,145.51,610093.01
2016-06-09,797.12,610890.13
2016-06-11,3373.56,614263.69
2016-06-12,174.48,614438.17
2016-06-13,1128.89,615567.06
2016-06-14,51.07,615618.13
2016-06-15,734.15,616352.28
2016-06-16,3443.91,619796.19
2016-06-18,1883.1,621679.29
2016-06-19,446.34,622125.63
2016-06-20,829.54,622955.17
2016-06-21,107.98,623063.15
2016-06-22,2018.96,625082.11
2016-06-23,836.96,625919.07
2016-06-25,857.07,626776.14
2016-06-26,1592.2,628368.34
2016-06-28,1126.15,629494.49
2016-06-29,432.92,629927.41
2016-07-02,1631.89,631559.3
2016-07-03,823.98,632383.28
2016-07-04,1138.29,633521.57
2016-07-05,121.65,633643.22
2016-07-06,1379.81,635023.03
2016-07-08,21.12,635044.15
2016-07-09,1587.11,636631.26
2016-07-10,43.29,636674.55
2016-07-11,1941.95,638616.5
2016-07-12,2052.57,640669.07
2016-07-13,2033.26,642702.33
2016-07-14,860.92,643563.25
2016-07-16,3029.38,646592.63
2016-07-17,448.08,647040.71
2016-07-18,525.72,647566.43
2016-07-19,2.03,647568.46
2016-07-20,2693.16,650261.62
2016-07-23,208.27,650469.89
2016-07-24,525.95,650995.84
2016-07-25,2395.03,653390.87
2016-07-26,958.86,654349.73
2016-07-27,29.97,654379.7
2016-07-30,443.8,654823.5
2016-07-31,3712.16,658535.66
2016-08-01,1011.7,659547.36
2016-08-02,1290.48,660837.84
2016-08-05,72.65,660910.49
2016-08-06,494.87,661405.36
2016-08-07,968.2,662373.56
2016-08-08,760.11,663133.67
2016-08-09,4878.4,668012.07
2016-08-10,851.47,668863.54
2016-08-11,196.11,669059.65
2016-08-13,586.9,669646.55
2016-08-15,497.59,670144.14
2016-08-16,3378.92,673523.06
2016-08-17,381.64,673904.7
2016-08-21,2827.53,676732.23
2016-08-22,66.63,676798.86
2016-08-23,1202.28,678001.14
2016-08-24,7194.76,685195.9
2016-08-25,178.52,685374.42
2016-08-27,639.97,686014.39
2016-08-28,6491.3,692505.69
2016-08-29,246.5,692752.19
2016-08-31,2601.8,695353.99
2016-09-01,2367.56,697721.55
2016-09-03,1874.9,699596.45
2016-09-04,1071.29,700667.74
2016-09-05,934.1,701601.84
2016-09-06,919.67,702521.51
2016-09-07,2922.67,705444.18
2016-09-08,89.64,705533.82
2016-09-10,1415.73,706949.55
2016-09-11,1962.13,708911.68
2016-09-12,707.82,709619.5
2016-09-13,2109.41,711728.91
2016-09-14,3262.42,714991.33
2016-09-15,2535.84,717527.17
2016-09-16,31.12,717558.29
2016-09-17,11525.0,729083.29
2016-09-18,3924.32,733007.61
2016-09-19,500.38,733507.99
2016-09-20,1836.05,735344.04
2016-09-21,6982.06,742326.1
2016-09-22,1783.5,744109.6
2016-09-24,4180.61,748290.21
2016-09-25,3033.76,751323.97
2016-09-26,3722.26,755046.23
2016-09-27,2382.96,757429.19
2016-09-28,1058.36,758487.55
2016-10-01,1158.41,759645.96
2016-10-02,1269.26,760915.22
2016-10-03,275.22,761190.44
2016-10-04,505.58,761696.02
2016-10-05,851.09,762547.11
2016-10-08,222.12,762769.23
2016-10-09,2133.53,764902.76
2016-10-10,1855.01,766757.77
2016-10-11,1011.9,767769.67
2016-10-12,2390.76,770160.43
2016-10-13,371.66,770532.09
2016-10-15,3219.55,773751.64
2016-10-16,824.97,774576.61
2016-10-17,77.88,774654.49
2016-10-18,378.49,775032.98
2016-10-19,2135.09,777168.07
2016-10-20,720.09,777888.16
2016-10-22,15.13,777903.29
2016-10-23,2262.29,780165.58
2016-10-24,831.14,780996.72
2016-10-25,1425.42,782422.14
2016-10-26,1395.32,783817.46
2016-10-28,104.51,783921.97
2016-10-29,244.24,784166.21
2016-10-30,2122.04,786288.25
2016-10-31,3211.01,789499.26
2016-11-01,3106.1,792605.36
2016-11-02,5528.54,798133.9
2016-11-03,2800.85,800934.75
2016-11-05,834.87,801769.62
2016-11-06,11.48,801781.1
2016-11-07,3073.08,804854.18
2016-11-08,12196.99,817051.17
2016-11-09,4620.29,821671.46
2016-11-10,3536.9,825208.36
2016-11-11,542.18,825750.54
2016-11-12,1127.99,826878.53
2016-11-13,2867.92,829746.45
2016-11-14,2512.71,832259.16
2016-11-15,702.16,832961.32
2016-11-16,4072.34,837033.66
2016-11-17,3885.99,840919.65
2016-11-19,1040.78,841960.43
2016-11-20,2861.14,844821.57
2016-11-21,3613.57,848435.14
2016-11-22,614.5,849049.64
2016-11-23,3450.19,852499.83
2016-11-24,1218.76,853718.59
2016-11-25,13.12,853731.71
2016-11-26,1484.08,855215.79
2016-11-27,3109.79,858325.58
2016-11-28,1864.48,860190.06
2016-11-29,2760.16,862950.22
2016-11-30,1798.39,864748.61
2016-12-01,7130.59,871879.2
2016-12-03,1972.63,873851.83
2016-12-04,5185.81,879037.64
2016-12-05,897.31,879934.95
2016-12-06,6061.49,885996.44
2016-12-07,1338.3,887334.74
2016-12-08,2672.73,890007.47
2016-12-09,34.02,890041.49
2016-12-10,3080.38,893121.87
2016-12-11,1590.9,894712.77
2016-12-12,1448.86,896161.63
2016-12-13,1023.39,897185.02
2016-12-14,488.75,897673.77
2016-12-15,5494.79,903168.56
2016-12-16,4.98,903173.54
2016-12-17,1918.49,905092.03
2016-12-18,935.3,906027.33
2016-12-19,6120.65,912147.98
2016-12-20,1107.47,913255.45
2016-12-21,3257.76,916513.21
2016-12-22,473.32,916986.53
2016-12-23,194.32,917180.85
2016-12-24,7484.56,924665.41
2016-12-25,4204.98,928870.39
2016-12-26,561.49,929431.88
2016-12-27,5148.44,934580.32
2016-12-28,79.2,934659.52
2016-12-30,3251.34,937910.86
2016-12-31,1381.35,939292.21
2017-01-02,405.92,939698.13
2017-01-03,2095.83,941793.96
2017-01-04,1069.22,942863.18
2017-01-05,255.9,943119.08
2017-01-07,83.58,943202.66
2017-01-08,1859.16,945061.82
2017-01-09,743.05,945804.87
2017-01-10,174.75,945979.62
2017-01-11,149.44,946129.06
2017-01-14,405.35,946534.41
2017-01-15,701.93,947236.34
2017-01-16,102.22,947338.56
2017-01-17,1040.55,948379.11
2017-01-21,1167.06,949546.17
2017-01-22,917.64,950463.81
2017-01-23,1732.3,952196.11
2017-01-24,31.36,952227.47
2017-01-25,858.71,953086.18
2017-01-28,39.68,953125.86
2017-01-30,3107.32,956233.18
2017-01-31,1601.55,957834.73
2017-02-01,161.97,957996.7
2017-02-02,8996.78,966993.48
2017-02-03,866.4,967859.88
2017-02-04,197.87,968057.75
2017-02-05,2994.48,971052.23
2017-02-06,132.22,971184.45
2017-02-07,762.14,971946.59
2017-02-08,1369.48,973316.07
2017-02-09,121.83,973437.9
2017-02-11,69.93,973507.83
2017-02-12,1366.04,974873.87
2017-02-13,146.82,975020.69
2017-02-14,837.92,975858.61
2017-02-15,407.07,976265.68
2017-02-16,1135.64,977401.32
2017-02-19,392.66,977793.98
2017-02-20,16.5,977810.48
2017-02-21,1524.13,979334.61
2017-02-22,983.17,980317.78
2017-02-23,57.58,980375.36
2017-02-25,46.72,980422.08
2017-02-27,243.89,980665.97
2017-02-28,147.58,980813.55
2017-03-01,6285.8,987099.35
2017-03-03,7264.42,994363.77
2017-03-04,315.45,994679.22
2017-03-05,162.34,994841.56
2017-03-06,811.3,995652.86
2017-03-07,21.07,995673.93
2017-03-08,2190.81,997864.74
2017-03-09,635.6,998500.34
2017-03-10,7879.73,1006380.07
2017-03-11,896.03,1007276.1
2017-03-12,1694.64,1008970.74
2017-03-13,8866.88,1017837.62
2017-03-14,669.35,1018506.97
2017-03-15,1805.99,1020312.96
2017-03-17,2360.33,1022673.29
2017-03-18,1061.68,1023734.97
2017-03-19,138.68,1023873.65
2017-03-20,928.31,1024801.96
2017-03-21,645.7,1025447.66
2017-03-22,226.47,1025674.13
2017-03-24,745.78,1026419.91
2017-03-25,1346.97,1027766.88
2017-03-26,682.25,1028449.13
2017-03-27,92.7,1028541.83
2017-03-28,125.3,1028667.13
2017-03-29,2659.36,1031326.49
2017-03-30,11.34,1031337.83
2017-03-31,640.76,1031978.59
2017-04-01,2161.47,1034140.06
2017-04-02,1454.9,1035594.96
2017-04-03,441.2,1036036.16
2017-04-04,970.19,1037006.35
2017-04-05,1046.33,1038052.68
2017-04-06,1294.75,1039347.43
2017-04-07,1900.31,1041247.74
2017-04-08,2906.39,1044154.13
2017-04-09,1115.2,1045269.33
2017-04-10,950.59,1046219.92
2017-04-12,1542.52,1047762.44
2017-04-13,6.12,1047768.56
2017-04-14,1466.58,1049235.14
2017-04-15,2201.86,1051437.0
2017-04-16,9335.09,1060772.09
2017-04-17,421.08,1061193.17
2017-04-18,2514.54,1063707.71
2017-04-19,1414.14,1065121.85
2017-04-21,271.62,1065393.47
2017-04-22,1765.47,1067158.94
2017-04-23,720.37,1067879.31
2017-04-24,1607.1,1069486.41
2017-04-25,108.42,1069594.83
2017-04-26,434.65,1070029.48
2017-04-28,486.67,1070516.15
2017-04-30,142.21,1070658.36
2017-05-01,517.86,1071176.22
2017-05-02,767.32,1071943.54
2017-05-03,1099.02,1073042.56
2017-05-05,2701.29,1075743.85
2017-05-06,236.97,1075980.82
2017-05-07,4835.97,1080816.79
2017-05-08,1340.25,1082157.04
2017-05-09,1283.51,1083440.55
2017-05-10,763.02,1084203.57
2017-05-11,5.98,1084209.55
2017-05-12,918.88,1085128.43
2017-05-14,455.92,1085584.35
2017-05-15,648.91,1086233.26
2017-05-16,880.46,1087113.72
2017-05-17,346.93,1087460.65
2017-05-18,122.22,1087582.87
2017-05-19,1582.0,1089164.87
2017-05-20,2471.91,1091636.78
2017-05-21,2718.22,1094355.0
2017-05-22,1799.2,1096154.2
2017-05-23,10560.98,1106715.18
2017-05-24,277.76,1106992.94
2017-05-25,1311.97,1108304.91
2017-05-26,1975.35,1110280.26
2017-05-27,5305.08,1115585.34
2017-05-28,2137.32,1117722.66
2017-05-29,1063.19,1118785.85
2017-05-30,8090.58,1126876.43
2017-05-31,438.86,1127315.29
2017-06-02,157.84,1127473.13
2017-06-04,2316.52,1129789.65
2017-06-05,659.82,1130449.47
2017-06-06,5477.35,1135926.82
2017-06-07,51.56,1135978.38
2017-06-09,1688.47,1137666.85
2017-06-10,1412.4,1139079.25
2017-06-11,1623.4,1140702.65
2017-06-12,2962.55,1143665.2
2017-06-13,430.44,1144095.64
2017-06-14,3457.11,1147552.75
2017-06-15,173.49,1147726.24
2017-06-16,147.28,1147873.52
2017-06-17,3000.93,1150874.45
2017-06-18,541.94,1151416.39
2017-06-19,17.12,1151433.51
2017-06-20,1229.56,1152663.07
2017-06-21,577.11,1153240.18
2017-06-23,2475.09,1155715.27
2017-06-24,5310.95,1161026.22
2017-06-25,893.27,1161919.49
2017-06-26,1919.6,1163839.09
2017-06-27,778.7,1164617.79
2017-06-28,877.16,1165494.95
2017-06-29,191.88,1165686.83
2017-06-30,1352.95,1167039.78
2017-07-01,1724.38,1168764.16
2017-07-02,772.78,1169536.94
2017-07-03,847.7,1170384.64
2017-07-04,1651.31,1172035.95
2017-07-07,3882.23,1175918.18
2017-07-08,2616.52,1178534.7
2017-07-09,573.29,1179107.99
2017-07-10,895.9,1180003.89
2017-07-12,95.76,1180099.65
2017-07-14,2149.95,1182249.6
2017-07-15,380.2,1182629.8
2017-07-16,910.17,1183539.97
2017-07-17,2184.88,1185724.85
2017-07-18,2891.86,1188616.71
2017-07-19,1536.45,1190153.16
2017-07-20,89.95,1190243.11
2017-07-21,991.1,1191234.21
2017-07-22,1368.05,1192602.26
2017-07-23,654.6,1193256.86
2017-07-24,326.96,1193583.82
2017-07-25,4979.32,1198563.14
2017-07-28,2033.37,1200596.51
2017-07-29,819.15,1201415.66
2017-07-30,1770.77,1203186.43
2017-07-31,2174.16,1205360.59
2017-08-01,1124.65,1206485.24
2017-08-02,482.58,1206967.82
2017-08-03,248.82,1207216.64
2017-08-04,497.9,1207714.54
2017-08-05,197.05,1207911.59
2017-08-06,320.39,1208231.98
2017-08-07,179.97,1208411.95
2017-08-08,1115.2,1209527.15
2017-08-09,661.36,1210188.51
2017-08-11,151.82,1210340.33
2017-08-12,3951.95,1214292.28
2017-08-13,731.52,1215023.8
2017-08-14,923.69,1215947.49
2017-08-15,1680.27,1217627.76
2017-08-16,204.54,1217832.3
2017-08-17,15.71,1217848.01
2017-08-18,496.11,1218344.12
2017-08-19,448.79,1218792.91
2017-08-20,14.78,1218807.69
2017-08-21,4225.12,1223032.81
2017-08-22,405.35,1223438.16
2017-08-23,4187.35,1227625.51
2017-08-26,4874.3,1232499.81
2017-08-27,767.92,1233267.73
2017-08-28,322.02,1233589.75
2017-08-29,632.19,1234221.94
2017-08-30,1656.86,1235878.8
2017-08-31,23.97,1235902.77
2017-09-01,5766.16,1241668.93
2017-09-02,6792.21,1248461.14
2017-09-03,2365.59,1250826.73
2017-09-04,1707.81,1252534.54
2017-09-05,5226.36,1257760.9
2017-09-06,1313.52,1259074.42
2017-09-08,4493.99,1263568.41
2017-09-09,84.99,1263653.4
2017-09-10,2094.32,1265747.72
2017-09-11,6402.03,1272149.75
2017-09-12,2043.79,1274193.54
2017-09-13,2374.73,1276568.27
2017-09-14,1137.34,1277705.61
2017-09-15,2101.18,1279806.79
2017-09-16,425.89,1280232.68
2017-09-17,2043.12,1282275.8
2017-09-18,4751.08,1287026.88
2017-09-19,3839.31,1290866.19
2017-09-20,1232.0,1292098.19
2017-09-22,418.07,1292516.26
2017-09-23,1322.14,1293838.4
2017-09-24,2286.05,1296124.45
2017-09-25,2384.02,1298508.47
2017-09-26,2698.18,1301206.65
2017-09-27,1992.98,1303199.63
2017-09-28,99.14,1303298.77
2017-09-29,1271.56,1304570.33
2017-09-30,525.88,1305096.21
2017-10-01,781.42,1305877.63
2017-10-02,18452.97,1324330.6
2017-10-03,1680.7,1326011.3
2017-10-04,5912.78,1331924.08
2017-10-06,830.4,1332754.48
2017-10-07,973.71,1333728.19
2017-10-08,561.53,1334289.72
2017-10-09,546.93,1334836.65
2017-10-10,252.36,1335089.01
2017-10-11,33.06,1335122.07
2017-10-13,1650.63,1336772.7
